"","Parameter","Estimate","p","sig","VIF","CI","Sample"
"1","intrcpt",0.799296311645937,0.0218063318420971,"*",NA,"[0.12, 1.48]","URB597conditioned"
"2","outcomeExtinction consolidation",0.705954628144312,0.233279612421631,"",4.54937559335818,"[-0.45, 1.87]","URB597conditioned"
"3","outcomeExtinction recall",-0.049669325101816,0.94687230190051,"",1.84699418525814,"[-1.51, 1.41]","URB597conditioned"
"4","outcomeExtinction retention",0.263800391266897,0.30515872617204,"",2.04065403333961,"[-0.24, 0.77]","URB597conditioned"
"5","outcomeFear during CS reexposure",0.395137895007646,0.684170109435533,"",1.77015007082152,"[-1.51, 2.30]","URB597conditioned"
"6","outcomeFear memory reconsolidation",-0.443526623064843,0.559707898645349,"",1.08231097592544,"[-1.93, 1.05]","URB597conditioned"
"7","hed",3.01349864923209,0.713730332714015,"",13.3472859420143,"[-13.09, 19.11]","URB597conditioned"
"8","hed2",-16.2460786009315,0.722802203300547,"",10.8230058641799,"[-106.01, 73.52]","URB597conditioned"
"9","anxiety_testCued fear conditioning",-0.674332359682439,0.266335186145307,"",2.08921610291447,"[-1.86, 0.51]","URB597conditioned"
"10","outcomeExtinction consolidation:hed",-0.476744288629709,0.981159325540108,"",5.30462038139193,"[-40.04, 39.09]","URB597conditioned"
"11","outcomeExtinction recall:hed",-16.0222601851189,0.75113062333344,"",7.11212456344873,"[-115.04, 82.99]","URB597conditioned"
"12","outcomeExtinction retention:hed",-21.5815288517622,0.0599164404177814,"",2.92155102963607,"[-44.06, 0.90]","URB597conditioned"
"13","outcomeFear during CS reexposure:hed",11.4322913417058,0.388664232172255,"",1.92983901128738,"[-14.56, 37.43]","URB597conditioned"
"14","outcomeExtinction retention:hed2",-365.052714446895,0.378543098178372,"",3.45233923375954,"[-1177.57, 447.47]","URB597conditioned"
"15","outcomeFear during CS reexposure:hed2",-619.252974806347,0.314437489168364,"",1.85182568642737,"[-1825.78, 587.28]","URB597conditioned"
"16","hed:anxiety_testCued fear conditioning",9.70601409740033,0.447119164792401,"",3.30894636517934,"[-15.32, 34.73]","URB597conditioned"
"17","hed2:anxiety_testCued fear conditioning",155.072532606451,0.886282745268507,"",8.30510057871438,"[-1970.22, 2280.36]","URB597conditioned"
"18","Tau2b",0.417126007956814,NA,"*",NA,"[0.02, 2.03]","URB597conditioned"
"19","Tau2w",0.0147363589881261,NA,"",NA,"[0.00, 0.33]","URB597conditioned"
