"Parameter","Estimate","p","Sample","CI"
"Overall ES",0.793812563189305,0.00241431547057243,"CBDhumanexperimental","[0.28, 1.31]"
"V between",0.281679092696129,0.995441645957894,"CBDhumanexperimental","[0.03, 2.07]"
"V within",0.000395705042199472,0.014330052228415,"CBDhumanexperimental","[0.00, 0.25]"
"I2_Within",0.0851541392250786,NA,"CBDhumanexperimental","[NA, NA]"
"I2_Between",60.6162118706306,NA,"CBDhumanexperimental","[NA, NA]"
"Overall ES",0.685224882526169,5.58841698252246e-08,"CBDanimalconditioned","[0.44, 0.93]"
"V between",0.337466494138666,1,"CBDanimalconditioned","[0.00, 1.17]"
"V within",0.337466494138666,1,"CBDanimalconditioned","[0.00, 1.17]"
"I2_Within",36.9137487396668,NA,"CBDanimalconditioned","[NA, NA]"
"I2_Between",36.9137487396668,NA,"CBDanimalconditioned","[NA, NA]"
"Overall ES",-0.0056146461143443,0.961893039843173,"CBDanimalunconditioned","[-0.24, 0.22]"
"V between",0.407038785637635,1.96107042690259e-17,"CBDanimalunconditioned","[0.21, 0.78]"
"V within",0.289559094105656,4.04319293077339e-11,"CBDanimalunconditioned","[0.19, 0.42]"
"I2_Within",32.0656566824511,NA,"CBDanimalunconditioned","[NA, NA]"
"I2_Between",45.0753100917486,NA,"CBDanimalunconditioned","[NA, NA]"
"Overall ES",0.679523665934679,4.87903070979055e-06,"AM404conditioned","[0.39, 0.97]"
"V between",0.0249431325098236,1,"AM404conditioned","[0.00, 0.87]"
"V within",4.19655850835056e-10,0.689358236285472,"AM404conditioned","[0.00, 0.38]"
"I2_Within",2.2493460149166e-07,NA,"AM404conditioned","[NA, NA]"
"I2_Between",13.3694634779584,NA,"AM404conditioned","[NA, NA]"
"Overall ES",-0.459166758930178,0.0593764991073292,"AM404unconditioned","[-0.94, 0.02]"
"V between",0.345363710916802,0.00668930759128559,"AM404unconditioned","[0.06, 1.56]"
"V within",0.242569758656509,0.00634689427615474,"AM404unconditioned","[0.05, 0.63]"
"I2_Within",28.9110620529107,NA,"AM404unconditioned","[NA, NA]"
"I2_Between",41.1627225604747,NA,"AM404unconditioned","[NA, NA]"
"Overall ES",0.913378767943681,0.00141400644006079,"URB597conditioned","[0.35, 1.47]"
"V between",0.742629971730424,0.117564327823896,"URB597conditioned","[0.20, 2.60]"
"V within",0.0982376407621979,0.000130624900887434,"URB597conditioned","[0.00, 0.34]"
"I2_Within",9.02509396944989,NA,"URB597conditioned","[NA, NA]"
"I2_Between",68.2254299614253,NA,"URB597conditioned","[NA, NA]"
"Overall ES",0.0500929131018983,0.896377932296082,"URB597unconditioned","[-0.70, 0.80]"
"V between",4.43738283745651,5.06746171404164e-08,"URB597unconditioned","[2.60, 8.05]"
"V within",0.351846293253128,3.22798432009029e-31,"URB597unconditioned","[0.18, 0.62]"
"I2_Within",6.94098542842777,NA,"URB597unconditioned","[NA, NA]"
"I2_Between",87.5376839425244,NA,"URB597unconditioned","[NA, NA]"
"Overall ES",-0.171178716062862,0.62218309733842,"PF3485unconditioned","[-0.85, 0.51]"
"V between",0.402834164973796,3.17003856004882e-08,"PF3485unconditioned","[0.00, 3.40]"
"V within",0.55886364788317,0.0710847684248695,"PF3485unconditioned","[0.25, 1.22]"
"I2_Within",48.2230536841459,NA,"PF3485unconditioned","[NA, NA]"
"I2_Between",34.7596298970593,NA,"PF3485unconditioned","[NA, NA]"
